uid,time,name,target,info,state,version
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":635,""pageY"":545,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[7,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":635,""pageY"":545,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[7,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":0,""pageX"":592,""pageY"":526,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":685,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":685,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":654,""pageY"":543,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":1,""pageX"":654,""pageY"":543,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,select#recurrent-event-type-selector.ct,"{""which"":0,""pageX"":592,""pageY"":526,""target"":{""0"":{},""1"":{},""2"":{},""3"":{},""4"":{},""5"":{},""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":225,""namespace"":""""}]}},""sizzle1667884082364"":{""undefined"":{""parentNode"":[38,5,true]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":711,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":585,""pageY"":692,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
